YEAR,Start_Year,Home_Value
10,2015,1095218
4,2016,1143308
5,2017,1141082
6,2018,1275640
9,2019,1272848
3,2020,1308241
2,2021,1310890
8,2022,1400127
9,2023,1234800
1,2024,1212137
